time,type,level
2024-06-27 15:00:00,Bullish BOS,2317.81
2024-06-27 17:00:00,Bullish BOS,2325.59
2024-06-28 13:00:00,Bullish BOS,2330.91
2024-06-28 13:15:00,Bullish BOS,2331.91
2024-07-01 14:45:00,Bullish BOS,2337.17
2024-07-01 03:00:00,Bearish BOS,2322.88
2024-07-01 03:00:00,Bearish BOS,2322.87
2024-07-01 13:00:00,Bullish BOS,2329.0
2024-07-03 09:45:00,Bullish BOS,2338.53
2024-07-02 03:00:00,Bullish BOS,2332.87
2024-07-02 10:15:00,Bearish BOS,2324.89
2024-07-02 14:30:00,Bearish BOS,2323.36
2024-07-02 16:30:00,Bullish BOS,2332.45
2024-07-02 14:30:00,Bearish BOS,2322.91
2024-07-03 09:30:00,Bullish BOS,2336.78
2024-07-03 03:00:00,Bullish BOS,2331.31
2024-07-03 13:30:00,Bullish BOS,2347.58
2024-07-03 15:30:00,Bullish BOS,2349.46
2024-07-05 09:00:00,Bullish BOS,2364.92
2024-07-09 18:00:00,Bearish BOS,2353.67
2024-07-04 17:30:00,Bullish BOS,2360.43
2024-07-05 10:30:00,Bullish BOS,2366.32
2024-07-05 20:00:00,Bullish BOS,2388.34
2024-07-08 11:30:00,Bearish BOS,2376.65
2024-07-08 18:30:00,Bearish BOS,2368.33
2024-07-10 15:15:00,Bullish BOS,2379.56
2024-07-09 05:30:00,Bullish BOS,2365.3
2024-07-09 16:45:00,Bullish BOS,2365.57
2024-07-09 17:45:00,Bearish BOS,2356.14
2024-07-10 09:45:00,Bullish BOS,2371.33
2024-07-10 03:15:00,Bullish BOS,2365.56
2024-07-10 14:30:00,Bullish BOS,2374.96
2024-07-10 16:45:00,Bullish BOS,2381.82
2024-07-11 15:30:00,Bullish BOS,2386.61
2024-07-10 20:15:00,Bearish BOS,2374.0
2024-07-25 10:00:00,Bearish BOS,2369.85
2024-07-11 11:00:00,Bullish BOS,2383.25
2024-07-11 17:45:00,Bullish BOS,2412.98
2024-07-15 17:45:00,Bullish BOS,2424.54
2024-07-12 09:00:00,Bearish BOS,2406.68
2024-07-12 13:45:00,Bearish BOS,2400.35
2024-07-22 17:15:00,Bearish BOS,2391.44
2024-07-15 14:15:00,Bullish BOS,2418.17
2024-07-19 16:00:00,Bearish BOS,2401.32
2024-07-15 13:15:00,Bullish BOS,2412.55
2024-07-15 17:00:00,Bullish BOS,2420.86
2024-07-16 12:30:00,Bullish BOS,2439.67
2024-07-16 08:45:00,Bullish BOS,2431.51
2024-07-16 09:45:00,Bullish BOS,2432.81
2024-07-16 12:30:00,Bullish BOS,2439.41
2024-07-16 16:30:00,Bullish BOS,2444.02
2024-07-19 04:00:00,Bearish BOS,2429.41
2024-07-16 22:30:00,Bullish BOS,2466.61
