sweep_time,choch_time,type,price
2026-03-04 06:15:00,2026-03-04 06:30:00,BSL_SWEEP,1.33408
2026-03-05 02:30:00,2026-03-05 05:00:00,BSL_SWEEP,1.33812
2026-03-05 03:30:00,2026-03-05 05:00:00,BSL_SWEEP,1.33762
2026-03-06 13:45:00,2026-03-06 15:30:00,SSL_SWEEP,1.33178
2026-03-10 06:45:00,2026-03-10 08:15:00,SSL_SWEEP,1.3422
2026-03-17 06:45:00,2026-03-17 07:45:00,BSL_SWEEP,1.33141
2026-03-17 07:15:00,2026-03-17 07:45:00,BSL_SWEEP,1.33145
2026-03-19 10:45:00,2026-03-19 11:45:00,SSL_SWEEP,1.3251
2026-03-27 17:15:00,2026-03-27 17:15:00,SSL_SWEEP,1.33216
2026-03-27 07:15:00,2026-03-27 09:15:00,BSL_SWEEP,1.33461
2026-03-30 09:00:00,2026-03-30 11:00:00,BSL_SWEEP,1.32766
2026-03-31 03:30:00,2026-03-31 04:15:00,SSL_SWEEP,1.31732
2026-03-31 14:00:00,2026-03-31 15:30:00,SSL_SWEEP,1.31918
2026-04-06 10:30:00,2026-04-06 10:45:00,SSL_SWEEP,1.32214
2026-04-09 10:15:00,2026-04-09 12:00:00,SSL_SWEEP,1.3381
2026-04-09 07:15:00,2026-04-09 09:00:00,BSL_SWEEP,1.34025
2026-04-09 09:30:00,2026-04-09 12:00:00,SSL_SWEEP,1.33888
2026-04-13 14:45:00,2026-04-13 14:45:00,BSL_SWEEP,1.34339
2026-04-17 15:45:00,2026-04-17 15:45:00,SSL_SWEEP,1.35642
2026-04-23 03:15:00,2026-04-23 03:45:00,SSL_SWEEP,1.34926
2026-05-25 00:15:00,2026-05-25 00:15:00,SSL_SWEEP,1.34543
2026-05-01 09:45:00,2026-05-01 12:15:00,BSL_SWEEP,1.36119
2026-05-01 12:30:00,2026-05-01 14:00:00,SSL_SWEEP,1.35989
2026-05-01 19:15:00,2026-05-01 19:15:00,BSL_SWEEP,1.36119
2026-05-07 19:30:00,2026-05-07 20:00:00,BSL_SWEEP,1.35999
2026-05-12 09:15:00,2026-05-12 10:30:00,BSL_SWEEP,1.35607
2026-05-11 10:30:00,2026-05-11 11:00:00,SSL_SWEEP,1.36006
2026-05-14 09:45:00,2026-05-14 10:15:00,BSL_SWEEP,1.3532
2026-05-19 15:30:00,2026-05-19 16:15:00,BSL_SWEEP,1.34187
2026-05-25 10:45:00,2026-05-25 11:45:00,SSL_SWEEP,1.34774
2026-05-27 15:30:00,2026-05-27 17:45:00,BSL_SWEEP,1.34526
2026-05-29 04:15:00,2026-05-29 06:00:00,BSL_SWEEP,1.34483
2026-06-04 09:15:00,2026-06-04 10:30:00,BSL_SWEEP,1.34318
2026-06-08 12:00:00,2026-06-08 14:00:00,SSL_SWEEP,1.33174
2026-06-10 13:45:00,2026-06-10 14:30:00,BSL_SWEEP,1.33914
2026-06-11 20:30:00,2026-06-11 20:30:00,SSL_SWEEP,1.33748
2026-06-17 21:00:00,2026-06-17 22:00:00,BSL_SWEEP,1.33686
2026-06-19 09:00:00,2026-06-19 11:15:00,SSL_SWEEP,1.31932
